State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
California,10/12/19,"40,182",10/5/19,"260,397","17,203,829",1.51
California,10/19/19,"39,191",10/12/19,"258,717","17,203,829",1.5
California,10/26/19,"41,081",10/19/19,"281,060","17,203,829",1.63
California,11/2/19,"39,332",10/26/19,"267,628","17,203,829",1.56
California,11/9/19,"45,816",11/2/19,"284,199","17,203,829",1.65
California,11/16/19,"40,749",11/9/19,"274,354","17,203,829",1.59
California,11/23/19,"49,133",11/16/19,"291,706","17,203,829",1.7
California,11/30/19,"36,457",11/23/19,"259,563","17,203,829",1.51
California,12/7/19,"48,434",11/30/19,"327,504","17,203,829",1.9
California,12/14/19,"47,521",12/7/19,"321,564","17,203,829",1.87
California,12/21/19,"49,943",12/14/19,"325,387","17,203,829",1.89
California,12/28/19,"34,301",12/21/19,"300,551","17,203,829",1.75
,,,,,,
,,,,,,
